yearWork,finalWork,StudentID,CourseID,,,,
27,42,20190004,2,,,,
27,38,20190004,3,,,,
31,38,20190004,4,,,,
37,33,20190004,5,,,,
40,56,20190004,7,,,,
33,34,20190004,8,,,,
40,47,20190004,9,,,,
40,44,20190004,10,,,,
37,49,20190004,11,,,,
32,28,20190004,13,,,,
31,26,20190004,14,,,,
40,30,20190013,2,,,,
25,43,20190013,3,,,,
37,47,20190013,4,,,,
33,57,20190013,5,,,,
35,49,20190013,7,,,,
32,43,20190013,8,,,,
32,28,20190013,9,,,,
38,47,20190013,10,,,,
35,46,20190013,11,,,,
37,29,20190013,13,,,,
27,29,20190013,14,,,,
36,52,20190015,2,,,,
28,37,20190015,3,,,,
37,46,20190015,4,,,,
30,34,20190015,5,,,,
39,37,20190015,7,,,,
25,51,20190015,8,,,,
33,45,20190015,9,,,,
38,40,20190015,10,,,,
30,40,20190015,11,,,,
26,57,20190015,13,,,,
34,57,20190015,14,,,,
33,43,20190030,2,,,,
31,45,20190030,3,,,,
30,52,20190030,4,,,,
36,31,20190030,5,,,,
35,35,20190030,7,,,,
27,40,20190030,8,,,,
38,34,20190030,9,,,,
35,37,20190030,10,,,,
26,41,20190030,11,,,,
29,33,20190030,13,,,,
35,43,20190030,14,,,,
28,58,20190047,2,,,,
34,50,20190047,3,,,,
36,57,20190047,4,,,,
38,25,20190047,5,,,,
33,35,20190047,7,,,,
27,50,20190047,8,,,,
27,30,20190047,9,,,,
32,48,20190047,10,,,,
37,35,20190047,11,,,,
27,26,20190047,13,,,,
32,41,20190047,14,,,,
34,34,20190049,2,,,,
36,57,20190049,3,,,,
34,46,20190049,4,,,,
30,51,20190049,5,,,,
25,25,20190049,7,,,,
30,39,20190049,8,,,,
34,60,20190049,9,,,,
31,52,20190049,10,,,,
27,34,20190049,11,,,,
29,40,20190049,13,,,,
37,40,20190049,14,,,,
35,51,20190052,2,,,,
39,44,20190052,3,,,,
27,29,20190052,4,,,,
32,48,20190052,5,,,,
28,56,20190052,7,,,,
34,48,20190052,8,,,,
27,39,20190052,9,,,,
29,27,20190052,10,,,,
33,33,20190052,11,,,,
40,35,20190052,13,,,,
39,32,20190052,14,,,,
39,33,20190068,2,,,,
26,28,20190068,3,,,,
34,37,20190068,4,,,,
25,41,20190068,5,,,,
31,48,20190068,7,,,,
36,46,20190068,8,,,,
40,30,20190068,9,,,,
27,45,20190068,10,,,,
31,31,20190068,11,,,,
40,26,20190068,13,,,,
35,55,20190068,14,,,,
36,59,20190079,2,,,,
37,58,20190079,3,,,,
26,37,20190079,4,,,,
33,57,20190079,5,,,,
39,48,20190079,7,,,,
34,36,20190079,8,,,,
32,50,20190079,9,,,,
38,37,20190079,10,,,,
28,55,20190079,11,,,,
36,47,20190079,13,,,,
26,54,20190079,14,,,,
31,58,20190083,2,,,,
28,40,20190083,3,,,,
30,58,20190083,4,,,,
39,31,20190083,5,,,,
36,44,20190083,7,,,,
38,35,20190083,8,,,,
36,26,20190083,9,,,,
26,47,20190083,10,,,,
36,40,20190083,11,,,,
31,34,20190083,13,,,,
28,35,20190083,14,,,,
32,53,20190089,2,,,,
33,58,20190089,3,,,,
38,42,20190089,4,,,,
34,37,20190089,5,,,,
31,51,20190089,7,,,,
30,59,20190089,8,,,,
29,36,20190089,9,,,,
25,47,20190089,10,,,,
27,59,20190089,11,,,,
36,54,20190089,13,,,,
29,48,20190089,14,,,,
31,29,20190107,2,,,,
35,28,20190107,3,,,,
26,46,20190107,4,,,,
36,50,20190107,5,,,,
32,54,20190107,7,,,,
30,33,20190107,8,,,,
28,47,20190107,9,,,,
37,27,20190107,10,,,,
27,53,20190107,11,,,,
36,29,20190107,13,,,,
34,32,20190107,14,,,,
27,50,20190110,2,,,,
37,29,20190110,3,,,,
26,59,20190110,4,,,,
40,52,20190110,5,,,,
34,28,20190110,7,,,,
31,49,20190110,8,,,,
38,39,20190110,9,,,,
37,36,20190110,10,,,,
40,51,20190110,11,,,,
34,29,20190110,13,,,,
38,26,20190110,14,,,,
35,33,20190116,2,,,,
30,56,20190116,3,,,,
34,31,20190116,4,,,,
39,30,20190116,5,,,,
29,26,20190116,7,,,,
32,35,20190116,8,,,,
34,58,20190116,9,,,,
29,52,20190116,10,,,,
37,36,20190116,11,,,,
31,49,20190116,13,,,,
39,33,20190116,14,,,,
39,34,20190121,2,,,,
32,52,20190121,3,,,,
28,36,20190121,4,,,,
29,31,20190121,5,,,,
30,48,20190121,7,,,,
26,29,20190121,8,,,,
32,52,20190121,9,,,,
29,46,20190121,10,,,,
35,28,20190121,11,,,,
26,59,20190121,13,,,,
29,29,20190121,14,,,,
28,33,20190141,2,,,,
30,50,20190141,3,,,,
40,49,20190141,4,,,,
29,60,20190141,5,,,,
32,59,20190141,7,,,,
25,41,20190141,8,,,,
31,32,20190141,9,,,,
29,37,20190141,10,,,,
34,56,20190141,11,,,,
33,37,20190141,13,,,,
30,50,20190141,14,,,,
26,39,20190142,2,,,,
37,30,20190142,3,,,,
36,45,20190142,4,,,,
26,44,20190142,5,,,,
25,50,20190142,7,,,,
25,40,20190142,8,,,,
28,44,20190142,9,,,,
37,30,20190142,10,,,,
25,43,20190142,11,,,,
28,45,20190142,13,,,,
26,26,20190142,14,,,,
25,37,20190150,2,,,,
33,30,20190150,3,,,,
36,36,20190150,4,,,,
40,39,20190150,5,,,,
33,35,20190150,7,,,,
26,55,20190150,8,,,,
34,35,20190150,9,,,,
28,27,20190150,10,,,,
29,45,20190150,11,,,,
39,51,20190150,13,,,,
30,56,20190150,14,,,,
39,37,20190151,2,,,,
25,28,20190151,3,,,,
29,46,20190151,4,,,,
35,48,20190151,5,,,,
35,44,20190151,7,,,,
29,54,20190151,8,,,,
32,32,20190151,9,,,,
38,25,20190151,10,,,,
33,25,20190151,11,,,,
38,59,20190151,13,,,,
26,56,20190151,14,,,,
37,27,20190153,2,,,,
28,31,20190153,3,,,,
38,60,20190153,4,,,,
32,32,20190153,5,,,,
29,40,20190153,7,,,,
32,49,20190153,8,,,,
35,38,20190153,9,,,,
30,33,20190153,10,,,,
34,43,20190153,11,,,,
37,52,20190153,13,,,,
31,25,20190153,14,,,,
35,49,20190159,2,,,,
35,54,20190159,3,,,,
25,59,20190159,4,,,,
28,49,20190159,5,,,,
28,42,20190159,7,,,,
30,60,20190159,8,,,,
40,45,20190159,9,,,,
25,33,20190159,10,,,,
32,30,20190159,11,,,,
25,30,20190159,13,,,,
36,60,20190159,14,,,,
26,42,20190161,2,,,,
25,38,20190161,3,,,,
25,45,20190161,4,,,,
27,33,20190161,5,,,,
25,27,20190161,7,,,,
26,27,20190161,8,,,,
29,48,20190161,9,,,,
38,44,20190161,10,,,,
34,36,20190161,11,,,,
35,51,20190161,13,,,,
39,52,20190161,14,,,,
40,50,20190163,2,,,,
27,37,20190163,3,,,,
27,45,20190163,4,,,,
35,39,20190163,5,,,,
31,45,20190163,7,,,,
26,33,20190163,8,,,,
34,54,20190163,9,,,,
37,50,20190163,10,,,,
38,49,20190163,11,,,,
35,29,20190163,13,,,,
28,28,20190163,14,,,,
31,57,20190168,2,,,,
39,46,20190168,3,,,,
30,48,20190168,4,,,,
25,44,20190168,5,,,,
